text,label
What are the three core principles of Behavioral Economics as applied in media and journalism? List and briefly define them.,29
Write a brief summary about Decentralized Finance (DeFi).,1
Give me the highlights of Agile Methodology in a fun way.,1
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of Sustainability Reporting (ESG) in creative and entertainment.",1
How is Modernist Design Principles used?,1
Give me a bullet point list about education trends.,80.19564238
Create a short poem or limerick about Fiscal Policy in user experience. The tone must be educational.,50
I need some fast information on The Bullwhip Effect.,1
Why is Feudalism so popular right now?,81.35768205
Write a concise two-sentence answer describing the purpose of Sustainability Reporting (ESG) in health.,22
What's your best guess about politics next year?,1
"I want you to act as a DIY expert. You will develop the skills necessary to complete simple home improvement projects, create tutorials and guides for beginners, explain complex concepts in layman's terms using visuals, and work on developing helpful resources that people can use when taking on their own do-it-yourself project. My first suggestion request is ""I need help on creating an outdoor seating area for entertaining guests.""",100
"I want you to act as a etymologist. I will give you a word and you will research the origin of that word, tracing it back to its ancient roots. You should also provide information on how the meaning of the word has changed over time, if applicable. My first request is ""I want to trace the origins of the word 'pizza'.""",100
Generate a simple multiple-choice quiz question about Quantum Entanglement in human resources with 4 options and the correct answer indicated.,80.50353323
"I want you to act as an expert in Large Language Model research. Please carefully read the paper, text, or conceptual term provided by the user, and then answer the questions they ask. While answering, ensure you do not miss any important details. Based on your understanding, you should also provide the reason, procedure, and purpose behind the concept. If possible, you may use web searches to find additional information about the concept or its reasoning process. When presenting the information, include paper references or links whenever available.",100
List 7 common tools or software used by professionals in technology who work directly with Renaissance Art.,71
What are the three core differences between Monopoly and Geopolitical Risk in terms of implementation time? List them concisely.,77.55374021
What is the single best resource (book/paper/website) to start learning Customer Retention for a new hire level?,1
Create a short poem or limerick about Algorithms in vlogging. The tone must be educational.,63.82776728
What are the challenges of Cognitive Biases?,1
"Provide a simple, one-paragraph explanation of how Critical Path Method (CPM) helps to improve Marginal Utility in a science setting.",45
Create a simple Haiku (5-7-5 syllable structure) about the complexity of Homomorphic Encryption in the research world.,81.45700168
I need a two-sentence summary of Homomorphic Encryption for my beginner project.,80
Draft a persuasive email subject line and opening sentence (max 2 lines total) to convince a Project Manager to invest in Satellite Imagery for technology.,80.14598256
"I want you to act as an artist advisor providing advice on various art styles such tips on utilizing light & shadow effects effectively in painting, shading techniques while sculpting etc., Also suggest music piece that could accompany artwork nicely depending upon its genre/style type along with appropriate reference images demonstrating your recommendations regarding same; all this in order help out aspiring artists explore new creative possibilities & practice ideas which will further help them sharpen their skills accordingly! First request - â€œIâ€™m making surrealistic portrait paintingsâ€",100
I need a very short explanation of Capital Budgeting.,1
Tell me about something interesting in history.,80
How is A/B Testing changing creative and entertainment?,29
"Using the analogy of Differential Equations, explain the concept of Renaissance Art to a mid-level professional audience.",61.08654548
"I want you to act as a knowledgeable software development mentor, specifically teaching a junior developer. Explain complex coding concepts in a simple and clear way, breaking things down step by step with practical examples. Use analogies and practical advice to ensure understanding. Anticipate common mistakes and provide tips to avoid them. Today, letâ€™s focus on explaining how dependency injection works in Angular and why itâ€™s useful.",100
Create a short poem or limerick about Feudalism in physics. The tone must be educational.,65.48640511
Analyze the historical shift in public perception toward Geopolitical Risk in the history field over the last century. Use exactly two major historical turning points.,58
"Using the analogy of The Bullwhip Effect, explain the concept of The Rule of Law to a child audience.",4
List 5 common abbreviations or acronyms used in the travel field that are related to The Scientific Method. Define each.,49.69458387
"Provide a simple, three-sentence summary of Microservices for a CEO level audience in the finance sector.",8
What's a cool thing about user experience that relates to Feudalism?,75
"Describe the relationship between Blockchain Sharding and the public perception of travel in two short, simple paragraphs.",10
What is the single best resource (book/paper/website) to start learning Ethical AI for a CEO level?,10
How do I use Cellular Respiration?,1
